,x_test,future
4024,"[ 80  51 105  20  51 105  20  51 105  20 166  86 180 166  25 180  48 166
   3 180  11  51   3  26  84  26  26  89  45 134  49 125]",[ 49   6 134  45  26  84  26  26]
4025,"[180  97  35 179 111 179 101 180  10  97 158  79  80 173 155 140 102  11
   3 173 179 155 140  11 141 122   3  29  25  22  86 119]",[ 89  80  22 105  84  70 167 119]
4026,"[ 17 173  90 136 127  11  91   7  91  48   7  69   7 149  11  80   7 149
  25  93  70 167  79  25  90  70   7 149  11  80   7 149]",[ 93  70 167  79  25  90  70 147]
4027,"[ 42 167 167 167  98  42 167 167 167  82   1  89  89  89  88  76  34 113
 113 178 113  91  34 113 113 113  88  34 113  34 113  28]",[ 55  55 170  12 126 125 170 172]
4028,"[ 11 173  86  29 117  11 173  86  65  29 101  11 173  86  29  89 140 173
  86  29 140 173  86  29 117 140 139  73  65  48 101 140]",[ 73  48  89 140 173  86  29 140]
4029,"[ 48  84 127 166 109   6  11  84 166  79 109   6 173  84   0  97 109   6
 117  84 166  20 109   6 180  84 166 157 109   6  35  84]",[ 36 109   6  47  84  27 109  27]
4030,"[ 66  46  22  80 165  80  22  66 105 108  66 145  22  80 165  80  27  22
  66 105  66  49  22  80 165  80  27  22  66 105  66  49]",[ 80 165  80  81  22  80 105  80]
4031,"[ 11 155 119  29 180  11 155 119  29   3 155 119  29   3 155 141 119  29
  84   3 155 113 119  25  64   3 155 119  25  11 155 119]",[ 11 155 119  29   7 155 119  29]
4032,"[ 80 105 165  80 105 165  80 105  46 148  68  46 148  68  48 122 105  11
  93 105   3 119 105  93 105 122 105  11  93 105 127 119]",[155  93 105  48 122 105  11  93]
4033,"[ 71  66  21  76 151  76  78 150 150  78 150  78  99 154  99 154  99 154
  51  91  83  60   7  69  69 162  69 162  55  55  55  59]",[100  55  24   8  28   8  28   8]
4034,"[103 114 141 122 141 129 140  56 155 173 155 173 139 173 139 158 139  56
 158  97 158  97 180 101 111  35 130 122  35 111  35 111]",[111 101 180 101  88 180  97 180]
4035,"[ 20 136 180 136  97 117 143  79 173  90 165 127  11   3 174  48  25 127
 136  11   3  49   6  12  55  84  22   8  97 167 117  79]",[136 180 136  97 117 143  79 173]
4036,"[149  86 129 149  29  64 105 119  73 105 119  86 114 129 149  29 129 149
 119 109 122  88 105  88 122  88 122  57  88 109 105  34]",[109 122  57  66 109   8  95 105]
4037,"[140  89  90 140  90 101 178 112 176 112 176 164 102   3  93 155   3 155
  97 102   7 129 155   7 155  65 176 140  89  90 140  90]",[178 112 176 112 176 164 102 140]
4038,"[113  54 119 113 119  54 176  54 176  21 167  21  66 167  66  76  17 131
 136  76 136  76  17  15  21 167  21  66 167  66  76  17]",[136  76 136  76  17  15  21 167]
4039,"[ 52  79  52 158  11 107 107 175  49 175  81  81  49   6  12  55  84  22
   8  97 167 117  79  20 136 180 136  97 117 143  79 173]",[165 127  11   3 174  48  25 127]
4040,"[169 163   4  21 169 163 104  31 178  46  78  92  52  31 178  46  78  92
 104 104 169  98  94 104 169  98  94   4 104  63  18  15]",[ 71 104  63  52  15  94   4 163]
4041,"[165 158  37 117 165 158  37 117 165 155  37  90 165 155  37  90 165  11
  37 140 165  11  37 140 165  29  37  48  55 180  37 101]",[158  37 117 165 158  37 117 165]
4042,"[141 129  21   1  89  37 140  21   1   1 135  32 135   1  89  37 140 135
   1   1  32  54   1  89  37 140  54   1  21   1 135  32]",[  1  89  37 140  21   1   1  32]
4043,"[ 46 135 124  46 135  46  54 148  54 148 108 104   9  76 108 145 136   4
  17 148  85 104 175  46 170 145 174   4  65 145   9  65]",[ 25   3 140  90  31  79  97  31]
4044,"[ 70  70 167  70 167 127  66   7 149   7 149 140  37  70 167  70 167   7
 149  29 129   7 149  29 129  48  78  70  48  37 167   7]",[ 29   7  70 167 140 178   7 140]
4045,"[165  55 165  55 165  55  93  12 165  55  75  68  75  68  75  68  48 165
  48 165  48 165  25  93  48 165  27  13  27  13  27  13]",[ 17  17  17  17  17 178 178  17]
4046,"[ 79 115 115 117 115 115  49  49  79 173  79  79  87  87  79 168 168 173
  61  90  61 173  17  17  17  17 115 115 115 115 131 115]",[131 115 131 131 115 131 131 115]
4047,"[ 22 179  12 181  55 113 121  22 170  12 121  22  27  84  27  84 164 122
 164 122  28   8  28   8  87  93  87  93 170  43 170  43]",[ 69 136 174  90 173  90  11 126]
4048,"[119  70 129  73  88  29 167  73  88  29 167  48 122  29 167  48 122   7
   8  48 167   7   8  11  22   7   8  11  22 127 113  11]",[127 113  90  55  86  66   3 105]
4049,"[155  68 146 155 119 155  46  41 155 119  52 155 153  18 155  11 148 180
  10  71 180 180   6  95  31  53  95  12  95  31  53  95]",[122  68  83 122  71  55  88  68]
4050,"[ 31  53 145  53  62  53  62  53  62 124  40 124  40 124  40  31  56 128
  31  38 148  81 148 153 145  95  38  95  38 145 153  95]",[ 95 134 145  83  95  83  95  38]
4051,"[150   7 140 150   7  48  90  57 127 140  79  89 139  90  90  57 127 140
  79 167 139  90  65  89 117  79  79  37 139  90  65 165]",[ 79 101  70  65 117 101 165  65]
4052,"[ 25  86  29  22  11  29  11  29  85  11  25   7  29   6  11  29  11  29
 145  11  48 155   3 140   3 140   3 145 140 140 173   3]",[ 29 140  25  13 140  29 140  29]
4053,"[ 91  63 140 125  37 146  73   3  37 139 125  73  19   3 140  73 127 113
  66  63  73   7  66   7 138  40   8 127  34  40 113   7]",[ 40   8 140   1  37  56  86  29]
4054,"[  7 122  48  29 167  73  70 129 119  70  89  37  70 129  29  70  89  37
  70 165  48 119 113 149 119 165  48 119 113 149 119 129]",[ 29 167  37  29 129 140  73  55]
4055,"[101  88 154 154 140  88  54  54 173 129 139 165  59  59 158 169 106 106
 117  78 137 137  65  53 117 154  59  59 158 131 123 123]",[131 123 123 123 123 123 158  26]
4056,"[ 95  98  86  17  95  95  95  95  95  95  95  95  95  95  95  95 141 141
 141 141 141 141 141 141 141 141 141  73  76 141 125 125]",[125 125  83 125 125  33  34  91]
4057,"[ 97   3  79  25  90  70 140  37  11  80  48  80   6  22  95  22  95   3
  48  25  80  42  22   3  93  22 140 105  11  80   6  22]",[ 22  48  95  11  80  42  22 167]
4058,"[ 83  83  83  83  53  53  41  41 116  41  56  26 100 178  16 148  38  22
  81  22 140  37  92  92  83  83  83  83  53  53  41  41]",[ 41  56  26 100 178  16 148  38]
4059,"[150  78 140 150  78 150 140  42  78 150 140  42  78 150 140  34  53 169
 127 169 151 169 151 169 151 169 151 127 169 151 169 127]",[151 169 127  42 151 169  90  64]
4060,"[113  86 119  37 149 105 129   6 149  86  29  95 149  86 119 149 119  66
 109  29  73  86  84 119  66 149 105 129  88  64 105 119]",[122 105 119  37 105  37 149 141]
4061,"[ 37 167 119  29 141  88  37 167  80 122  78 167 119  29  88  37 167 119
  88  80 122 140  37  89  55 119  70  73 122  25 167  11]",[140 153 141 122  22 141  25 140]
4062,"[141  44  64 122  32  44  22  44 141 129  44 114 141  64  44 122  44  32
  22  44 141 129  64  44 122  44  22  80  44 141 129  44]",[119  44  22  80  44 141 129  44]
4063,"[  1  21  34 113 149   7  34  98  34   1 123  34 113 147 147 149  65  34
 147  34   1 123  34 113 135 147 149  65  34 123  34   1]",[ 34 113 147 135  65 149   7  34]
4064,"[166  86 173 166  86 139 166  73 130 166  73 130 166  73 157 102  25  79
 102  25  79 102  25 117 124  25 110 124 157  25  47 124]",[ 36  69  25 171  69 117  25  97]
4065,"[143  36 177 157  35 111  20  84 180  97 117  62  97 180  20 111  35 130
 122  36 177 130 119  35 111 101  65  97  65 141 111 101]",[129  97 158 139 173 155 127  84]
4066,"[ 97  51  86  79 102  25 117 102  97  25 180 102  20  25  97  51  86 180
  51  97  86 117  51  79  86 173 166  86 173 166  86 173]",[ 86 139 166  73 130 166  73 130]
4067,"[125 119 141 105  84   3  84  66  86 173 149  86  29 127 129  86  29   7
  95  86  29   7   8  86  29   3  86  29   3 105  86  29]",[ 22  86   8  29 122 105 119  73]
4068,"[ 71 138   8 108 108 108 108 127  11  93   7  25   7  17   7  25   7  93
  11  79  25 173 124 155 127  25  11  11  93   7  25   7]",[  7  25   7  93  11  25  44 155]
4069,"[167  55 116  89  95  26 124 124 140  83  11  11  83 158 153  79 173 153
  11 144  29  25 155  75  11 140   3  25  86 129 105  80]",[ 62 129  37  70  80 105 116  86]
4070,"[56 62 56 62 56 62 56 62 56 29 56 62 56  3 56 13 56 29 56 62 56  3 32 40
 74 40 74 40 74 40 74 40]",[29 74 40 74 40 74 40 74]
4071,"[ 66   3  29 153 119  64 122 119 122 116 119 122  64 119 122 119 122 132
 141 122  29 124 122   3 122  84  25  30 122   3   3  22]",[ 10 122  58 179 124  10 119 122]
4072,"[ 25  89  70  25 167   3  90  22   3  90 105  79 155 113  79 155 149 139
  48  22  90  48  88 155  48  89 139  29 167  90  70  55]",[ 37  88  48 149 113  29  70 129]
4073,"[ 13  13  66 155   6 107 107 175 124   7   6 151 151  95 149   6 151 151
  95 149   6 151 151  95 149   7   6  53  53  95 149   6]",[ 53  95 149   7   6 151 151  95]
4074,"[ 59 158 169 106 106 117  78 137 137  65  53 117 154  59  59 158 131 123
 123 158 131 123 123 123 123 123 158  26 117 154  78  78]",[ 88  37  78  78 117  78 149  78]
4075,"[153  95 134 145  83  95  83  95  38 145 153  95 153  95 153 145   6  38
   6  38 145 153   6 153   6 134 145  83   6  83   6  38]",[153   6 153   6  82 105 100  93]
4076,"[153 119  41 119 144 119 124 153 119  83 122 129 102  80 119 153 122 129
  80 119 153 119  41 119 144 119 129  80  22 122 129  80]",[ 22  80 122  22 129 122  80 129]
4077,"[ 48  73 138  66   3 105  66  12  25 105  25  66 172 105  25 119  66  64
  80 155 119  25  32  11 127  66  86   6   3  11 119  86]",[ 48   3 105  66  84  86  73  22]
4078,"[ 53   6  95  53 141  95  53  89  95 124 114  88 143 125  88 103 141  88
 153  22  88  37   1  89  62   6  89  62 141  89  62  89]",[ 54  57  89  54  55  89  40 124]
4079,"[124 111  25 180  93  65  25  65  17  65  25  65  93 180  25  44 111  73
 180  95  97  86  97  66  97  86 180  93  97  70  97  80]",[ 70 180  17  97 117  86  97 180]
4080,"[141  73  29 119  73  48  80 114 141  73   3  80 141  86  29  80 119  73
  86   1 141  29 140 173 141 140  29  86  29 140  29   6]",[140 173 158 141 173 140  29 140]
4081,"[ 70  93 140  73 113 165  73 167   7  73 113 165  73 122   7  70 167 129
  70  29 113  42 113 167 119 165 119   7 113  42 113  88]",[129  70  29  29 167   7 129  90]
4082,"[142  52  31  68 125  68  31  71  84 111   2  35  71 113  88 149  71 119
  71 149  88 104 122 149 119 104  73 104 119 149  68  89]",[ 70  68  73  68  70 105   4 125]
4083,"[ 93  95  93  93  95  93  93 174 122  12  93 162   8 179  22  12  93  93
  69  95  12  93  93 174 122  12  93  93 107 122 125  88]",[ 49 122   6  95  95 122  95  95]
4084,"[ 11  80  86 175  48  11 144  80  86 107 175  11  99  49  11  80  86  48
  11  95 107  80  86  51  48  11  85  80  86 175  95  48]",[ 3 11 48 11 80 86 48 11]
4085,"[  8  86  68  13  86  46  22 119  46 175  46 119 117  18   6  80 175  80
   9  84  66   9  13   9  66 108  42  37  79 157 168  97]",[180  97 105 143 117 165  79  93]
4086,"[155 127 173 158 105   7  62  65 158  65 158  65 158  65 158  97   3 105
  62 158  97 158  97 158  97 158  97  79 122  97 158  79]",[173 155 127  11   3  29  95  25]
4087,"[109   6 175  84 119  25 109   6  86  84 175 109   6 175  84 119  25 109
   6  86  84 175 109   6 175  84 166  25 109   6  86  84]",[  0 109   6  48  84 127 166 109]
4088,"[ 95  13   8  84  95  95 143 122  84  95  95  17 167  84  95  95  95  95
  95  95  95  95 143 122  84  95  13   8 143 122   6  95]",[143 122   6  95  95 143 122   6]
4089,"[  6  95 143 122   6  95 143 122   6  95  13   6   8 175  22  68  86  84
   8  95 179 122  93  17   8  95  17   8 141  95  69  43]",[ 93  93  93  93 174 179 162  69]
4090,"[  7 129  37  86  29 149  37  86  73 154  88 105  37 105  88 105  88 105
  37 105  88 105  73 154  88 105  37 105  88  73 105 154]",[105  37 105  88 146 125  84  89]
4091,"[137 101 156 137 137 137 137 137 101 146  20  63  91  91  65 149  73  91
  91  20  91  70  91  65  66  91  91  20  76  91  91  20]",[ 66  63  63 130  63  37  63  20]
4092,"[105  37  73  37 105   3 154 105  37  73  37 105   3 154 105  37  73  37
 105   3  18 105 119  73 119 105 119 105 119  73 119 105]",[ 88 105 119 105  88 105  88 105]
4093,"[119 144  30 180 141 111 180 158 158 132 180 158 155 155 158 155  11  11
 132 155  11  29  29  11  29 119 144  30 111 141 177 111]",[180 132 111 180 158 158 180 158]
4094,"[132   7 132 132  11 132  11   1 173  11 134 134   3 134  48 134 134   3
 134   3  32 155 121 121 121 140 132 132  11 132   3 132]",[ 29 132 179   1  26  26  26 124]
4095,"[ 55 165  97  37 165 117  70  79  48   8 165  66 165 173  86  79  25 113
  93  86  93 173  66  25  79  22  93  70  93  90  80  86]",[ 12  93  79  66 173  93  90 149]
4096,"[122  52  89 129  37  86  37 129  52  89 129  37  52  86  37 129  52  22
 129 119  73 119  68 129  52  22 129 119  73 119 129 145]",[129  37  86  37 129  52  84  37]
4097,"[133 100 100  91  54  91  54  65  91 117  20  54 117 158  91  65 117  54
 139 127  91  90  54 127  90  91 127 139  54  90 127  85]",[  7 156  48   7  41 140 127 156]
4098,"[105 127  66  11  80   3 105  86  95  66   8 105  84  66   8 105  84  66
   8 105  84  66   8  11  80 127  66  11  80  48 165  73]",[66  8 80 22 66  8 80 22]
4099,"[101 133  20  59 111 149  21   2  37  66 130 106   2  40  20 106  65 117
 165  91  47 178  78  90  28  40 163 137  90 140  90 117]",[117 137 101 111 142   2 130 177]
4100,"[122 105 119  73 105 119  86 141 129 149  29 129 149 119  84 122  88 105
  88 122  66   8  95 105 141  95 125   3   6   3  18 105]",[ 73 119 105 119 105 119  73  64]
4101,"[143   6 122  95 143   6 122  95 143   6 122  95  68  86   6   8  46  22
  86  68  84   8  95 179 122  93  17   8  95   3  84   8]",[102 144 105 105 105 105 105  51]
4102,"[165  80  22  66 105 108  66 145  22  80 165  80 127  22  66 105  66  11
  22  80 165  80  22  66 105 127  66  11  22  80 165  80]",[ 22  43  66  43 105  66  46  22]
4103,"[119  80  25  22 119  80  86  89  37 129 173  84  29  86 140 105  89  86
  37 140 122 105  29 119  11 129  29 119  11 129  29 119]",[122 129 119  37   3  93 119  37]
4104,"[153  99  11  62  11  81  80  70  25  11  80  70 153  25  11 174  80  70
 143  25  11   3  11  29  11  80  86  29  11  80  86  62]",[148 144  86 153  29  38  11  80]
4105,"[ 84 135 113 154  84 118  53 118  53 118  53  26  53  26  83  26  53  26
  83  26  53 146 154 146 154 146 154  61 165  61 165  61]",[149  24  37  54  66  54  66  54]
4106,"[ 53 118  53  26  53  26  83  26  53  26  83  26  53 146 154 146 154 146
 154  61 165  61 165  61 165 149  24  37  54  66  54  66]",[66 71 66 71 66 71 66 21]
4107,"[  7  10 141 149 119  29 119 149 119 149 119  29 119 125 149   7  42 149
  70  29  70 149  70 149  70  29  70 149   7  64 149 119]",[119 149 140  30  70  30  73  30]
4108,"[150  77 150  31 150  91  54  91  54  91  54  91  54  91  54  39  54  39
 178  46 178  46 178  46  78 150  78 150  31 150  77 150]",[150 126  54 126  54 126  54 126]
4109,"[ 19  53  62  53  62 153  66 135 153 135 153  62  53 135  26  53  62  53
  86  53  29 146  53  62  53  86  53  29  19  53  62  53]",[153  66 135 153 135  62 153 135]
4110,"[ 89  88  89  29 125  89  95  89  48 125  89  88  89   7 125  89 129  89
 140 125  89 165  89 141  89 165  89  55  89 165  89 127]",[ 89  90 165  89 139  55  88  66]
4111,"[  7  11 127  90  70  73  29  48  73   7  29  11  48   7  11 127  90  70
  73  29  48  73   7  29  11  48   7  11 127  11  48 127]",[ 90  11 173 127  79  90 117 173]
4112,"[ 17  17  17  17  17 178 178  17  17  51  51  51  51  78  78  51  51 144
 144 144 144  54  54 144 144 179 179   9 121 148 121 148]",[145 145  51  68  51  13  51  13]
4113,"[139 158 131 139 167 158 117 167  65 101 178 101 165 101 165 178 165 165
 140 178 140 165 140 165 140 178  90 105 127 140 105  90]",[131 127 149 127 149  20 131  20]
4114,"[167   8  66  80  70  73  25 149  48 165   7  93  48 165   7  93  11  88
   7  93  11  88 127  95  11 167 127   8  90  22 127   8]",[ 22 173 113  90  22 173 113  79]
4115,"[127 140  57  42  90 117 101  55  65 117  65 131 117 131 158  20 131 101
 131  65 117  37  70 158 139  90 165 127 140 127 169 140]",[  7 139  21  90  21 127 140  57]
4116,"[ 80  22 105  84  70 167 119 122  37  89  70 167 119 122  37  89  70 167
 119 122  37  89  70 167 119 122  37  89  70 167 119 122]",[  8 119 147  70  73  29   3   7]
4117,"[ 53 142 158 142 178 142 101 142  21 142 111  57 179 137   2 137  85 137
  85 137  85 137  85   2 137  85 137 111 137 179 137 101]",[ 41 137 101 114 142 142 142 142]
4118,"[  3   3 122  22  10 122  58 179 124  10 119 122 124 122 125 124 122  83
  83 122   6 107 122  83 178  83 178 153  18 144  30 153]",[155 122 132 141 122 124 158 122]
4119,"[ 42  90 167  70  42  90 167  48  55 117 165  48  55 117 165 140  89 101
  37 140  89 101  37  90 167   2  70  90 167   2  70 117]",[ 47  48 117 165  47  48  90 167]
4120,"[ 37 140 165 137 150 142  21  21  53  74 153  40  10 142  53 178 150  39
  21 131 169  78  54 116  85 170  69  75  41 170 162  76]",[ 69  43  76  93 136 174  76 108]
4121,"[ 11  80 155 119 140  37  11  80   3 105  29 129  25  93  86  95 119 122
  37  89  80  22 105  84 129 141  93  12 129 141 105  84]",[ 22  37  89 119 122  86  95  25]
4122,"[132  10 132  54 125  54 125  89 165  54 125  89 165  99 125  89  88  76
 125   8 149 125   8 149 125   8 149  76 178 125 113 129]",[ 76 125  89 165  78  78 125   8]
4123,"[160 160  87  87  87  87  28  28  28  28 127  25 113  12  66   8   7  93
  25 113  66   8   7  93  73  55  66   8  48  88 127  48]",[ 12  66   8  11 165  48  22  66]
4124,"[ 37 140  48  88  37  48 125 140  29 141   7  73  55  48  70 141 129  70
  89  29  37 141  93  37 167  48 119 141  88 119  89  29]",[141  88 119  22  29  37  89 167]
4125,"[173  32  35 173  95  62  86  95 158  86  62 158  89 124  37  89 180  37
 124 180 141 179 129 141  97 129 179  97 122 134 119 122]",[119 134  97  84  62 105  84 173]
4126,"[ 25  48  86   7  11   7  80  48  25  86 165  70 119  70 129  88 167 122
  89 113 149 165  37 119  70 129  73  88  29 167  48 122]",[113 149 165  37 119  70 129  73]
4127,"[ 22 164 132  10 102 179  13 151   3 102 179   3 102 132  52  21  11  31
   7   3  21  31 132  52  21  11  31   7   3  21  31 123]",[123   9 123   9 123   9 123   9]
4128,"[135 135   1  89  37 140 135  54   1  89  37 140  54  21 135  21   1  89
  37 140  21 118   1  89  37 140 118  29  54  62  54   1]",[37 59 54 54 78  1 89 37]
4129,"[ 93  48  48  88   8  73  66  73   3  69  25  66  25  48  89  55  25  70
  25  48 167  25  37  25  48   8  73  66  73   3  12  25]",[25 48 89 55 25 70 25 48]
4130,"[ 70 105  32  70  25   3  66 105 138  66  86  48  66 165   6  66  70  48
  37 165  55  37  25  70 165  89  70  25  70 165   8  70]",[167  66 165  95  66  25  84  86]
4131,"[130 117  20  91 130  47  28 130 117   2 137 101 117  47 165  54 130 117
  20  91 130  47  28 130 117   2 137 101 117  47 165  54]",[ 20 130  91  47  47  28 130  47]
4132,"[141 129 114  29 141 129 114  29 141 129 114  29 141 129 114  29 141 129
 114  29 141 104 104  52  52 104 104   4   4 104 104  52]",[  4   4 104 104  21 104 104 149]
4133,"[ 22 174  11  95 107 127 122 155 107 173   8  79 173  13 155 127  84 155
 127  13  11   3 122 144   8   3 144 155  22 153  11 122]",[ 29  22 153   3 122  11 153 155]
4134,"[ 32  70  12 174  32  70  12 174  32  70  12 174  32  70  12 136  32  25
  12 136  32  25  12  85  32  11  12  85  32  11  12 174]",[ 90  12 174  32  90  12 136  32]
4135,"[ 18 124  44  44  45  57  49  96  49  18  49  18 109 134  82  31  68 134
 148  19  31 134 148  42  16 116  68  31 144 148  16  68]",[ 71   6  83  83 145 145   6  71]
4136,"[ 63 101  89  60 146  20 113  91  63 101 125 140 146 139  97 140  20  84
 127 173  97 127 111  64 155  67 139  97 155  27  84  35]",[ 27  84  35 111 122 155  67 139]
4137,"[118 108 118 169 148 150 145 145 126 104 151 107 148   9   9 123   4 117
  47  46 157  35   2  46  20 180  46  65 117  46  79 173]",[127  46  11   7  46  48  29  46]
4138,"[ 66 167  70  42 167 106  42  42 137  57  55  55  55  78  57  55  55  55
  57  55  55  55 137  57  55  55  55  78  55  55  55  55]",[ 55 137  55  55 115  57  55  55]
4139,"[115 137 137 144 144 144 144 116 168 116 168  75  75  75  75  75  75  75
  75  75  75  75  75  75  75  75  75 115 115 115 115 150]",[ 21 169 140  70  55 167 165 167]
4140,"[129  66  86  29 155 129  66  86  29 129  66  86  29  64 129  66 119  25
  93 105 119  25   6  93 105 119  25  93 105 119  25  12]",[105  66  29 129 105  66  29 141]
4141,"[ 54 107  60 176 113 176 165 113 165  54 107  15 162  54 162  54 107  60
 176 113 176 165 113 165  54 107  15 162  54 162  54 107]",[176 113 176 165 113 165 176  15]
4142,"[ 91  91  91  91  65  63  91  91  65 149  73  91  91  20  91  70  91  65
  66  91  91  20  76  91  91  20 149  66  63  63 130  63]",[ 63  20 149  63  63 130 149  63]
4143,"[  6  22 122  46  95 145   6  22 122 145  95 134   6  84  89  95   6  84
  89  68  95  31   6  84  89  31  95  68   6  84  89  68]",[ 71 125  84  89  71  88 145 125]
4144,"[  3 140 155  79 104 148  10  25  93  29 129 119 122  80  22 129 141  74
 141  55  84  74 113  74  22  90  89 173  37 140 129  29]",[ 86  89  45   6 125  12  45 141]
4145,"[ 63  91  63  91  63  91  63  91  63 152 108 152 108 152 104 152   9 152
 108  81 148 136 148 136 148 136 148 136 148  70 136 148]",[148  70  76 148 107 148  96 148]
4146,"[ 46  52 142 142  59  59 132 132 142 142 142 142 142 142  71  59 154  46
 142  52  52  21  37 142 119  70  73  48 142 142 142 142]",[142 135  52 132  46  52 142 142]
4147,"[ 52 148  46 104 104 148   9   4   4  71  52  46  71 104  52 148  46 104
 104 148   9   4   4  71  52  96  46 104 148 104 148   9]",[  4  96  46 104 148 104 148   9]
4148,"[132 124 132 124 132 124 132 124 132  29   1  62  56  62  56  62  56  62
  56  62  56  29  56  62  56   3  56  13  56  29  56  62]",[ 3 32 40 74 40 74 40 74]
4149,"[ 93 172  93 172 151 127 145 140   7  52 140 104   7   9   7  33  33  91
  63  91  63  91  63  41 169  73  78 169  25  60 146  60]",[33 63 66  8  9 66  8 87]
4150,"[ 93 172 118 173  52  90 127 104  90 128   9 127 128 145 127 115 115 175
 126 175 126 175 126 117 166 148 158 139  18 158  71 139]",[139  59  59  78 154  78 154  78]
4151,"[ 84 140 173  29  11 173  29  64   3 173  73 122   3 155  86  71   3 140
 119 141  29  11  86 129  29 140  73  29 155  86  89 129]",[140  29  86  37  86  37 129 167]
4152,"[ 43  43  85  85 151 151  78  78 156 156  54  54  99  99 176 176  15  15
  98  98 103 103  26  26  77  77  77  77  77  77  77  77]",[ 77  77  77  53  53 154 154  26]
4153,"[ 42  88 105  37 105  88 105  88 105  37 105  88  73 138  88 149  66 149
  88 149  88 149  66 149  88  73  23  88  23 165  23  66]",[165  88  23 165  23  88  23 165]
4154,"[ 27   6  84   8  17  84   8  95  49  95  86  80 165  95  22  49  55   6
  32 107   6  55  22 180 107  35  35  20 157 157 180 107]",[ 35 180  16   2   2 180 111 111]
4155,"[ 25  12  80 144  80  27   6  66  27  13  66  11   3   6  48  80  25  48
  95  80  51  84 105  17 105  28   9  66  28  54  28  66]",[ 12 105  87  69 105  87  12 105]
4156,"[ 62  49 161  13  84   8  95  13  84   8  95 175  84  22  95  13  84   8
  95 143  84 122  95  17 167  84  95  95  95  95  95 148]",[ 84 122  68   8 143   6 122  95]
4157,"[180 171  95 120  36  49 180 180  49 120  36  49 180  47  49 120 157  49
 120 157  49  49  22  81  81  47  81  36  81  81 120  49]",[ 22  16   2  35  47 180  35 117]
4158,"[ 78 115 126  66   8  66   8  66   8  86  48 143  29   3  48 175 175  70
  11  22 113  25   8  22  85  22  85  22  25   3  93  48]",[  8   3 144   8 144  89 127  73]
4159,"[ 88 105  37 105  88 105  88 105  37 105  88  73 138  88 149  66 149  88
 149  88 149  66 149  88  73  88 105  70 105  88  25 105]",[105  73  70 105  77  88  73  34]
4160,"[ 73  48  80 141  70  29  80 119  73  70   1 141  29 140  90 141 140  29
  70  29 140  29  42 141 140  90 158 141  90 140  29 140]",[155 114 141 139 158 155 141 139]
4161,"[169  21   4 163 169  21   4  96 163 136 150   4 163 136 150   4 107  90
 163 136 155 150   4  90 163 136 139 150   4  98 163 169]",[  4 163 169  21   4 163 169  21]
4162,"[ 78 139  88  37  78  78 117  78 149  78 139 165  78  78 117  54  78  78
 117 165  88 154 154 101 154 129 154 117  88 154 154 101]",[154 154 140  88  54  54 173 129]
4163,"[153 118 151 143  10 158 103  10  86  53  29 146  53  62  53  86  53  29
  19  53  62  53  62 153  66 135 153 135 153  62  53 135]",[ 53  62  53  86  53  29 146  53]
4164,"[ 65  69  97  65 170  20 117  91  54 117  17  97 117 175 173 127  17 127
 175 127 175  45 175  45  13  27  97  17  20  27   2 101]",[  2  35 117  28 117  54  90  61]
4165,"[  1 140  89  37   1 140  89  37   1 140  89  37   1 140  89  37   1 140
  89   4   4  31  31   4   4  46  46   4   4  31  31  46]",[  4   4  78   4 106   4  70  42]
4166,"[140  90  80  79 173  37  90 127  80  90 173  80  48  80  11  48  22  11
  48  80  11  29  80   7  48  80  11  48  22  11  48  80]",[  7  80 127  11 171 155 139  49]
4167,"[ 37  90 165  11  37 140 165  11  37 140 165  29  37  48 165  29  37  48
 165   7  37 140 165 127  37 140 165   7  37  48 165   7]",[140 165   7  37  48 165   7  37]
4168,"[141 167 127 149 167 173  66  70  90  55 167  37 167 140 165  70  90 141
 167 129 167 127 149 140  70  55 167 165 167  37 127 140]",[ 70 141 167 127 149 167 173  66]
4169,"[ 80  70  86  80 165  95  80  25  66 105  84  66  48 119  80   6 119  48
 119  80   6 119  48 119  80 109 119   3  86  66 109  86]",[86 80 32 86 25 70 80 32]
4170,"[129  25  93   3 105  29 129 140  37  11  80 127  66 155 119  90  70 173
  86  79  25 153 145  95  38  95  38 145 153  95 153  95]",[145  83  95  83  95  38 145 153]
4171,"[  4 145 178   4  17   9   9   9   9 175 162   9 107   9 162  18  54  85
   4  63  85  71 108  17  46 178  68  85 178  68  85  68]",[ 31 144  31 124  46 135 124  46]
4172,"[ 27   8  84  49   6  40  49  40  40  40  40  40  40  40  40  40  40  40
  40  40  62  49 161  13  84   8  95  13  84   8  95 175]",[ 22  95  13  84   8  95 143  84]
4173,"[ 90  48  91 127  54  90  41 108  65 156 117 117  91 117  54 101  65  69
  97  65 170  20 117  91  54 117  91  65 117  54 139 127]",[127  54 140  85   7 140 156 139]
4174,"[127  73  66   8  73  11  48  66  88  48  11  25  66  93  25   3 165  25
  66 105  25  11 122   3  25   3 127  95  48  86  48   3]",[ 66 105  86  11  25 119 122  25]
4175,"[ 34  40 113   7 138  40   8 140   1  37  56  86  29  37  48 125 165  88
  37  73 165  25  34  93  76 149  66  93  37  86   1 129]",[ 29  26 129  37  86   1 129  73]
4176,"[ 11  80 173 173  84  86   3  51 127  11 107  73  25 144   3  48  22  80
  86 165   3  25  22  80  70 105  11  86 175  80  86  48]",[ 86 140  86 127  84  66  86  95]
